Timestamp,TERM_ANA,LM35_0,LM35_1,LM35_2,DS18B20_0,DS18B20_1,DS18B20_2
2025-05-21 09:38:54,789.0,556.0,618.0,32.0,11.88,14.13,15.88
2025-05-21 09:38:56,789.0,556.0,616.0,22.0,11.88,14.13,15.88
2025-05-21 09:38:58,788.0,556.0,616.0,30.0,11.88,14.06,15.88
2025-05-21 09:39:00,789.0,556.0,615.0,23.0,11.88,14.13,15.88
2025-05-21 09:39:01,788.0,556.0,618.0,20.0,11.88,14.13,15.88
2025-05-21 09:39:03,788.0,556.0,618.0,31.0,11.81,14.13,15.88
2025-05-21 09:39:05,790.0,556.0,617.0,29.0,11.81,14.13,15.88
2025-05-21 09:39:06,790.0,556.0,618.0,25.0,11.81,14.06,15.88
2025-05-21 09:39:08,790.0,556.0,617.0,28.0,11.81,14.13,15.88
2025-05-21 09:39:10,790.0,556.0,620.0,23.0,11.81,14.13,15.88
2025-05-21 09:39:11,791.0,556.0,618.0,28.0,11.81,14.06,15.88
2025-05-21 09:39:13,789.0,556.0,617.0,25.0,11.81,14.06,15.88
2025-05-21 09:39:15,790.0,556.0,621.0,39.0,11.81,14.13,15.88
2025-05-21 09:39:16,790.0,556.0,624.0,24.0,11.81,14.06,15.88
2025-05-21 09:39:18,790.0,556.0,615.0,24.0,11.81,14.13,15.88
2025-05-21 09:39:20,790.0,556.0,616.0,28.0,11.81,14.13,15.88
2025-05-21 09:39:21,788.0,556.0,615.0,21.0,11.81,14.13,15.88
2025-05-21 09:39:23,788.0,556.0,621.0,28.0,11.81,14.13,15.88
2025-05-21 09:39:25,788.0,556.0,618.0,26.0,11.81,14.06,15.88
2025-05-21 09:39:27,790.0,556.0,624.0,28.0,11.81,14.13,15.88
2025-05-21 09:39:28,790.0,556.0,618.0,32.0,11.81,14.13,15.88
2025-05-21 09:39:30,789.0,556.0,624.0,21.0,11.81,14.13,15.88
2025-05-21 09:39:32,789.0,556.0,621.0,28.0,11.81,14.13,15.88
2025-05-21 09:39:33,790.0,556.0,617.0,30.0,11.81,14.13,15.88
2025-05-21 09:39:35,790.0,556.0,617.0,27.0,11.81,14.06,15.88
2025-05-21 09:39:37,790.0,556.0,617.0,26.0,11.81,14.06,15.88
2025-05-21 09:39:38,790.0,556.0,616.0,46.0,11.88,14.06,15.88
2025-05-21 09:39:40,788.0,556.0,621.0,31.0,11.81,14.13,15.88
2025-05-21 09:39:42,789.0,556.0,604.0,32.0,11.88,14.06,15.88
2025-05-21 09:39:43,789.0,556.0,617.0,26.0,11.88,14.13,15.88
2025-05-21 09:39:45,788.0,556.0,617.0,24.0,11.88,14.13,15.88
2025-05-21 09:39:47,789.0,556.0,617.0,28.0,11.88,14.13,15.88
2025-05-21 09:39:49,788.0,557.0,626.0,21.0,11.94,14.13,15.88
2025-05-21 09:39:50,788.0,556.0,613.0,22.0,11.88,14.06,15.88
2025-05-21 09:39:52,789.0,556.0,617.0,22.0,11.88,14.13,15.88
2025-05-21 09:39:54,788.0,556.0,618.0,21.0,11.88,14.13,15.88
2025-05-21 09:39:55,789.0,556.0,617.0,25.0,11.88,14.13,15.88
2025-05-21 09:39:57,789.0,556.0,618.0,35.0,11.81,14.06,15.88
2025-05-21 09:39:59,790.0,556.0,616.0,24.0,11.88,14.13,15.88
2025-05-21 09:40:00,788.0,556.0,615.0,27.0,11.88,14.06,15.88
2025-05-21 09:40:02,789.0,557.0,606.0,29.0,11.81,14.13,15.88
2025-05-21 09:40:04,789.0,556.0,618.0,26.0,11.81,14.13,15.88
2025-05-21 09:40:05,790.0,556.0,617.0,29.0,11.81,14.13,15.88
2025-05-21 09:40:07,789.0,556.0,612.0,26.0,11.81,14.13,15.88
2025-05-21 09:40:09,790.0,556.0,623.0,32.0,11.81,14.13,15.88
2025-05-21 09:40:11,789.0,556.0,619.0,30.0,11.81,14.13,15.88
2025-05-21 09:40:12,790.0,556.0,617.0,21.0,11.75,14.13,15.88
2025-05-21 09:40:14,790.0,556.0,623.0,22.0,11.81,14.13,15.88
2025-05-21 09:40:16,790.0,556.0,617.0,22.0,11.75,14.13,15.88
2025-05-21 09:40:17,790.0,556.0,617.0,29.0,11.81,14.13,15.88
2025-05-21 09:40:19,789.0,556.0,604.0,26.0,11.75,14.13,15.88
